Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,16.0,Sat,2018-12-15,19:45,AZ Alkmaar,3.6,2–1,0.6,Excelsior,14427.0,AFAS Stadion,Martin van den Kerkhof,Match Report,,19,N1
Regular season,16.0,Sat,2018-12-15,19:45,Heracles Almelo,1.0,0–4,3.4,PSV Eindhoven,12080.0,Polman Stadion,Dennis Higler,Match Report,,19,N1
Regular season,16.0,Sat,2018-12-15,20:45,Vitesse,1.0,2–1,1.3,VVV-Venlo,13249.0,GelreDome,Christiaan Bax,Match Report,,19,N1
Regular season,16.0,Sun,2018-12-16,12:15,Heerenveen,0.6,2–3,0.7,Utrecht,17575.0,Abe Lenstra Stadion,Edwin van de Graaf,Match Report,,19,N1
Regular season,16.0,Sun,2018-12-16,14:30,Groningen,1.4,1–2,1.9,Emmen,21965.0,Hitachi Capital Mobility Stadion,Björn Kuipers,Match Report,,19,N1
Regular season,16.0,Sun,2018-12-16,14:30,Ajax,2.9,8–0,0.2,De Graafschap,53388.0,Johan Cruyff ArenA,Kevin Blom,Match Report,,19,N1
Regular season,16.0,Sun,2018-12-16,16:45,Feyenoord,1.6,0–2,1.2,Fortuna Sittard,47500.0,Stadion Feijenoord,Jeroen Manschot,Match Report,,19,N1
,,,,,,,,,,,,,,,19,N1
Regular season,17.0,Fri,2018-12-21,20:00,VVV-Venlo,2.9,2–0,0.4,Zwolle,7235.0,Seacon Stadion De Koel,Joey Kooij,Match Report,,19,N1
Regular season,17.0,Sat,2018-12-22,18:30,Fortuna Sittard,1.0,0–0,1.0,Groningen,8283.0,Fortuna Sittard Stadion,Allard Lindhout,Match Report,,19,N1
Regular season,17.0,Sat,2018-12-22,19:45,NAC Breda,3.1,4–2,0.3,Heerenveen,18352.0,Rat Verlegh Stadion,Jochem Kamphuis,Match Report,,19,N1
Regular season,17.0,Sat,2018-12-22,19:45,PSV Eindhoven,1.7,3–1,1.2,AZ Alkmaar,34300.0,Philips Stadion,Pol van Boekel,Match Report,,19,N1
Regular season,17.0,Sat,2018-12-22,20:45,Excelsior,1.8,0–3,3.7,Heracles Almelo,4032.0,Van Donge & De Roo Stadion,Christiaan Bax,Match Report,,19,N1
Regular season,17.0,Sun,2018-12-23,12:15,Utrecht,1.1,1–3,3.0,Ajax,23226.0,Stadion Galgenwaard,Dennis Higler,Match Report,,19,N1
Regular season,17.0,Sun,2018-12-23,14:30,De Graafschap,1.3,2–2,1.2,Vitesse,12600.0,Stadion De Vijverberg,Björn Kuipers,Match Report,,19,N1
