Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,season,Div
Regular season,16.0,Wed,2021-12-29,19:00,Vitória,1.3,1–1,1.6,Boavista,6835.0,Estádio Dom Afonso Henriques,Rui Costa,Match Report,,22,P1
Regular season,16.0,Wed,2021-12-29,21:00,Sporting CP,3.1,3–2,0.4,Portimonense,21038.0,Estádio José Alvalade,António Nobre,Match Report,,22,P1
Regular season,16.0,Thu,2021-12-30,17:00,Paços,0.8,2–1,1.0,Santa Clara,618.0,Estádio da Capital do Móvel,David Silva,Match Report,,22,P1
Regular season,16.0,Thu,2021-12-30,19:00,Arouca,0.3,0–6,3.0,Braga,622.0,Estádio Municipal de Arouca,Manuel Oliveira,Match Report,,22,P1
Regular season,16.0,Thu,2021-12-30,21:00,Porto,2.4,3–1,1.5,Benfica,46250.0,Estádio Do Dragão,Hugo Miguel,Match Report,,22,P1
,,,,,,,,,,,,,,,22,P1
Regular season,13.0,Sun,2022-01-02,18:30,Vizela,1.6,2–0,2.3,B-SAD,1310.0,Estádio Do Vizela,João António Gonçalves,Match Report,,22,P1
Regular season,13.0,Mon,2022-01-03,20:15,Tondela,2.0,2–1,0.9,Moreirense,463.0,Estádio João Cardoso,Hugo Coelho,Match Report,,22,P1
,,,,,,,,,,,,,,,22,P1
Regular season,17.0,Fri,2022-01-07,17:30,Santa Clara,0.6,3–2,2.3,Sporting CP,1761.0,Estádio de São Miguel,Rui Costa,Match Report,,22,P1
Regular season,17.0,Sat,2022-01-08,15:30,Vizela,1.3,0–1,2.0,Moreirense,2009.0,Estádio Do Vizela,Hugo Miguel,Match Report,,22,P1
Regular season,17.0,Sat,2022-01-08,18:00,Estoril,1.1,2–3,2.6,Porto,2876.0,Estádio António Coimbra da Mota,António Nobre,Match Report,,22,P1
Regular season,17.0,Sat,2022-01-08,20:30,Boavista,1.8,1–1,0.5,Tondela,2869.0,Estádio do Bessa Século XXI,Miguel Nogueira,Match Report,,22,P1
Regular season,17.0,Sun,2022-01-09,15:30,Portimonense,2.6,1–2,2.3,Marítimo,486.0,Estádio do Portimonense SC,André Narciso,Match Report,,22,P1
Regular season,17.0,Sun,2022-01-09,18:00,Benfica,4.5,2–0,0.5,Paços,26268.0,Estádio do Sport Lisboa e Benfica,Vitor Ferreira Fernandes,Match Report,,22,P1
Regular season,17.0,Sun,2022-01-09,18:00,Braga,2.0,2–2,0.9,Famalicão,4487.0,Estádio Municipal de Braga,Fábio Oliveira Melo,Match Report,,22,P1
Regular season,17.0,Sun,2022-01-09,20:30,B-SAD,1.5,2–1,1.4,Arouca,323.0,Estádio Nacional,Manuel Oliveira,Match Report,,22,P1
Regular season,17.0,Mon,2022-01-10,20:15,Gil Vicente FC,2.1,3–2,1.6,Vitória,2348.0,Estádio Cidade de Barcelos,Rui Costa,Match Report,,22,P1
,,,,,,,,,,,,,,,22,P1
Regular season,16.0,Thu,2022-01-13,18:00,Famalicão,0.7,1–0,0.7,B-SAD,2633.0,Estádio Municipal 22 de Junho,André Narciso,Match Report,,22,P1
,,,,,,,,,,,,,,,22,P1
